# Created on: Sun Feb 25 17:25:32 2018
# T	K	U	Etot	Pc	Pk	Ptot
1.00003	1.50005	1.62866	3.12871	1.62866	0.500017	2.12868
0.999895	1.49984	1.62871	3.12855	1.62871	0.499947	2.12866
0.999734	1.4996	1.62898	3.12859	1.62898	0.499867	2.12885
0.999561	1.49934	1.62951	3.12885	1.62951	0.499781	2.12929
0.999386	1.49908	1.6303	3.12938	1.6303	0.499693	2.12999
0.999219	1.49883	1.63135	3.13018	1.63135	0.499609	2.13096
0.99907	1.4986	1.63264	3.13124	1.63264	0.499535	2.13217
0.998946	1.49842	1.63413	3.13255	1.63413	0.499473	2.1336
0.998855	1.49828	1.63579	3.13407	1.63579	0.499427	2.13521
0.9988	1.4982	1.63755	3.13575	1.63755	0.4994	2.13695
0.998781	1.49817	1.63937	3.13754	1.63937	0.499391	2.13876
0.998797	1.49819	1.6412	3.13939	1.6412	0.499398	2.14059
0.998841	1.49826	1.64297	3.14123	1.64297	0.49942	2.14239
0.998907	1.49836	1.64467	3.14303	1.64467	0.499454	2.14412
0.99899	1.49848	1.64625	3.14473	1.64625	0.499495	2.14574
0.999083	1.49862	1.64769	3.14632	1.64769	0.499541	2.14724
0.999184	1.49878	1.649	3.14777	1.649	0.499592	2.14859
0.99929	1.49894	1.65014	3.14908	1.65014	0.499645	2.14979
0.999401	1.4991	1.65113	3.15023	1.65113	0.499701	2.15083
0.999515	1.49927	1.65194	3.15121	1.65194	0.499757	2.1517
0.999628	1.49944	1.65258	3.15203	1.65258	0.499814	2.1524
0.999737	1.49961	1.65306	3.15266	1.65306	0.499868	2.15293
0.999838	1.49976	1.65338	3.15313	1.65338	0.499919	2.1533
0.999928	1.49989	1.65355	3.15344	1.65355	0.499964	2.15352
1	1.50001	1.6536	3.15361	1.6536	0.500002	2.1536
1.00007	1.5001	1.65355	3.15365	1.65355	0.500034	2.15358
1.00012	1.50017	1.6534	3.15358	1.6534	0.500058	2.15346
1.00015	1.50022	1.6532	3.15343	1.6532	0.500074	2.15328
1.00016	1.50024	1.65296	3.15321	1.65296	0.500081	2.15305
1.00016	1.50023	1.65272	3.15296	1.65272	0.500078	2.1528
1.00013	1.50019	1.65251	3.1527	1.65251	0.500063	2.15257
1.00008	1.50012	1.65235	3.15247	1.65235	0.500038	2.15239
1.00001	1.50002	1.65228	3.1523	1.65228	0.500006	2.15229
0.999937	1.49991	1.65232	3.15223	1.65232	0.499969	2.15229
0.999863	1.49979	1.65247	3.15227	1.65247	0.499932	2.1524
0.999798	1.4997	1.65273	3.15243	1.65273	0.499899	2.15263
0.999752	1.49963	1.65307	3.1527	1.65307	0.499876	2.15295
0.999732	1.4996	1.65346	3.15306	1.65346	0.499866	2.15333
